1,2.3281,2.4928,2.0409,2.7033,2.3913,0.7701,0.7885,0.73674,0.80861,0.77599,1.0164,0.7971,4.7826
2,1.0942,2.0376,1.1672,1.0618,1.3402,0.6706,0.43693,0.43693,0.64019,0.54616,0.76727,0.55387,3.3232
3,0.75849,0.6815,0.74135,0.79691,0.74456,0.74644,0.72323,0.74704,0.76129,0.7445,0.32917,0.24819,1.4891
4,1.4806,1.4716,1.7385,2.8019,1.8732,0.72053,0.71476,0.47843,0.47843,0.59804,1.0061,0.7818,4.6908
5,2.3462,1.8751,2.8221,2.556,2.3999,0.72417,0.6716,0.79048,0.76805,0.73857,1.0364,0.79996,4.7997
6,1.7481,1.0778,1.1021,1.1755,1.2759,0.7278,0.62625,0.62077,0.6409,0.65393,0.61599,0.42529,2.5517
7,2.3887,1.7555,1.8208,1.9356,1.9752,0.7216,0.66141,0.65653,0.66918,0.67718,0.93742,0.65839,3.9503
8,1.8707,1.6003,1.0147,1.077,1.3907,0.55116,0.55116,0.81028,0.84322,0.68896,0.91065,0.61533,3.692
9,1.5101,2.2507,1.388,1.5754,1.6811,0.59973,0.67245,0.57141,0.59062,0.60855,0.87448,0.56035,3.3621
10,0.90168,0.99853,0.8518,1.5432,1.0738,0.55494,0.57071,0.53738,0.65669,0.57993,0.57153,0.35793,2.1476
11,1.282,1.1057,1.0054,1.3217,1.1787,0.78915,0.73676,0.71491,0.79426,0.75877,0.50369,0.3929,2.3574
12,1.3729,1.7135,1.3126,1.8186,1.5544,0.5384,0.57312,0.5351,0.58473,0.55784,0.85335,0.51813,3.1088
13,1.4146,1.4256,1.908,1.2577,1.5014,0.65016,0.65004,0.71769,0.63463,0.66313,0.72726,0.50048,3.0029
14,1.4107,1.0807,0.90324,1.1114,1.1265,0.4069,0.4069,0.56679,0.65391,0.50862,0.84231,0.51589,3.0954
15,0.74797,0.70875,0.72792,1.0286,0.80332,0.65601,0.64105,0.6701,0.73732,0.67612,0.37692,0.26777,1.6066
16,1.6112,1.1336,1.3504,1.5028,1.3995,0.72644,0.65031,0.68911,0.71559,0.69536,0.65264,0.46649,2.799
17,0.44438,0.52282,0.42511,0.50641,0.47468,0.68291,0.71559,0.6697,0.70537,0.69339,0.22271,0.15823,0.94936
18,0.94124,1.5305,0.67967,0.7276,0.96976,0.47377,0.47377,0.68388,0.73744,0.59222,0.53225,0.39142,2.3485
19,1.3067,0.93293,1.0619,1.2441,1.1364,0.76438,0.68143,0.71068,0.75618,0.72817,0.50692,0.3788,2.2728
21,0.9159,0.78023,0.86313,0.91073,0.8675,0.86223,0.81647,0.8443,0.86244,0.84636,0.33944,0.28917,1.735
23,3.841,1.6809,1.3148,1.7033,2.135,0.22342,0.67026,0,0.67026,0.39098,2.5891,1.571,9.4259
24,0.45313,0.45328,0.33818,0.39395,0.40963,0.84796,0.84879,0.75795,0.79695,0.81291,0.16398,0.13654,0.81927
25,3.022,2.9352,3.2767,5.3853,3.6548,0.66903,0.66233,0.44379,0.44379,0.55474,2.0717,1.539,9.2339
26,2.0158,3.2622,2.2558,2.3581,2.473,0.62678,0.72926,0.64302,0.65862,0.66442,1.1899,0.82433,4.946
